Ticker,Rating Date,Fiscal Year,RTG_SP_LT_LC_ISSUER_CREDIT,COUNTRY,GICS_INDUSTRY_NAME,BS_TOT_ASSET,SALES_REV_TURN,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_COM_EQY,GROSS_MARGIN,ADJ_SG&A_TO_SALES,EBITDA_MARGIN,EBIT_MARGIN,OPER_INC_TO_NET_SALES,PROF_MARGIN,NORMALIZED_PROFIT_MARGIN,FREE_CASH_FLOW_MARGIN,ASSET_TURNOVER,NET_FIX_ASSET_TURN,ACCT_RCV_TURN,INVENT_TURN,CUR_RATIO,QUICK_RATIO,CASH_RATIO,ACCT_RCV_DAYS,INVENT_DAYS,ACCOUNTS_PAYABLE_TURNOVER_DAYS,CASH_CONVERSION_CYCLE,TOT_DEBT_TO_TOT_EQY,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_COM_EQY,LT_DEBT_TO_TOT_CAP,NON_CUR_LIAB_TO_TOT_ASSET,EBIT_TO_INT_EXP,EBITDA_TO_TOT_INT_EXP,EBITDA_LES_CAP_EXPEND_TO_INT_EXPP,TOT_DEBT_TO_EBITDA,NET_DEBT_TO_EBITDA
YY US Equity,31/12/2017,-0FY,BB,CH,Internet Software & Services,9785.79,8204.05,2421.14,-1783.14,12.81,17.84,23.05,36.47,37.79,NA,24.94,21.59,21.59,18.58,17.61,27.53,0.96,9.75,54.35,612.99,1.27,1.17,1.14,6.73,0.60,9.59,-2.26,54.69,35.36,0.00,0.00,0.34,21.85,25.23,23.23,1.35,-1.25
1628 HK Equity,31/12/2017,-0FY,BB-,CH,Real Estate Management & Devel,68860.51,13671.83,5899.56,-7953.66,6679.41,2.92,6.52,17.50,36.27,NA,32.99,32.71,32.71,12.98,13.98,36.67,0.22,1.69,NA,0.30,1.47,0.44,0.44,NA,1211.38,227.97,NA,220.91,68.84,196.69,56.00,31.75,18.20,2.84,2.29,5.72,2.26
YUM US Equity,31/12/2017,-0FY,BB,US,"Hotels, Restaurants & Leisure",5311.00,5878.00,1030.00,1472.00,-1734.00,24.90,NA,NA,45.71,NA,51.28,46.97,46.97,22.80,25.57,12.11,1.09,3.09,15.27,127.64,1.66,1.27,1.01,23.91,2.86,15.04,11.73,NA,282.54,NA,271.73,190.79,NA,NA,NA,3.25,2.75
1052 HK Equity,31/12/2017,-0FY,BBB-,HK,Transportation Infrastructure,23918.49,2702.84,1943.31,144.72,-291.50,4.08,7.69,10.18,70.83,NA,81.12,60.98,60.98,35.07,38.07,NA,0.12,31.12,25.49,NA,1.28,1.24,1.18,14.32,NA,28.21,NA,66.40,39.90,78.86,38.28,40.15,5.08,6.76,NA,3.58,2.23
405 HK Equity,31/12/2017,-0FY,BBB-,HK,Equity Real Estate Investment,35335.72,1853.90,653.52,-1022.18,491.74,4.36,5.35,10.32,NA,NA,55.80,47.94,47.94,77.52,43.65,33.32,0.06,NA,NA,NA,0.25,NA,0.19,NA,NA,NA,NA,82.62,45.24,58.11,29.58,NA,2.42,2.82,2.72,12.31,11.05
YRCW US Equity,31/12/2017,-0FY,B-,US,Road & Rail,1585.50,4891.00,60.70,-9.60,-96.20,-0.64,9.88,NA,7.02,NA,5.03,2.01,2.01,-0.22,0.03,-0.87,2.92,5.81,10.44,NA,1.29,1.07,0.17,34.96,NA,13.35,NA,NA,163.97,NA,158.43,87.97,0.96,2.39,1.39,3.68,3.31
YPFD AR Equity,31/12/2017,-0FY,B+,AR,"Oil, Gas & Consumable Fuels",421139.00,210100.00,33336.00,-66657.00,28691.00,-7.20,-6.65,-23.61,15.61,NA,10.10,-11.54,-11.54,-13.44,-2.16,-14.67,0.54,0.73,7.54,8.63,1.06,0.63,0.22,48.56,42.40,83.00,7.97,130.07,56.54,107.42,46.73,52.24,-1.34,1.17,-2.37,7.27,6.41
YORW US Equity,31/12/2017,-0FY,A-,US,Water Utilities,320.49,47.58,19.37,-12.53,-5.51,3.75,7.88,10.62,NA,NA,61.60,48.10,48.10,24.89,24.85,13.04,0.15,0.18,7.39,NA,1.54,1.34,0.51,49.51,NA,NA,NA,74.22,42.60,74.18,42.58,NA,4.35,5.57,3.07,2.89,2.74
3639 HK Equity,31/12/2017,-0FY,B,CH,Real Estate Management & Devel,35959.50,7004.55,1453.44,2510.14,-3166.10,1.60,2.87,5.85,22.05,NA,19.99,19.73,19.73,8.05,3.27,19.02,0.20,0.56,9.93,0.57,1.41,0.21,0.14,36.88,645.66,115.19,567.34,147.94,59.67,110.80,43.48,35.62,4.96,1.20,1.10,10.72,9.39
2393 HK Equity,31/12/2017,-0FY,BB-,CH,Health Care Equipment & Suppli,4456.42,3021.83,-195.49,-193.56,1155.73,5.28,15.56,21.74,25.36,NA,17.61,14.54,14.54,6.65,6.64,-6.87,0.79,23.74,5.02,5.19,2.02,1.60,1.06,72.89,70.58,55.61,87.85,176.83,63.88,154.87,55.33,51.62,7.87,9.53,9.31,3.16,0.77
Y CN Equity,31/12/2017,-0FY,B-,CA,Media,529.91,745.85,115.34,-74.24,-11.96,-72.32,-117.32,NA,24.67,NA,-47.92,-62.07,-62.07,-79.01,-25.88,11.39,0.92,17.08,6.24,NA,1.17,0.85,0.23,58.46,NA,NA,NA,NA,218.66,NA,188.87,103.38,-11.76,-9.08,-9.85,NA,NA
YAR NO Equity,31/12/2017,-0FY,BBB,NO,Chemicals,129246.00,93479.00,6478.00,-11105.00,5333.00,3.16,4.49,5.26,NA,NA,10.42,4.04,4.04,4.22,5.02,-4.87,0.75,1.49,8.58,NA,1.82,0.74,0.21,42.53,NA,NA,NA,30.63,23.45,26.33,19.57,23.15,7.97,20.54,-2.73,2.45,1.99
YKBNK TI Equity,31/12/2017,-0FY,BB,TU,Banks,320066.12,27877.59,454.20,-32976.38,40407.45,1.22,3.11,12.86,NA,NA,NA,NA,16.19,24.71,24.71,0.23,0.09,10.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.98,77.01,235.41,54.12,NA,NA,NA,NA,NA,NA
1171 HK Equity,31/12/2017,-0FY,BB-,CH,"Oil, Gas & Consumable Fuels",147455.47,33272.43,11446.50,-15181.12,-17.73,1.43,3.09,4.55,28.44,NA,18.67,6.06,6.06,6.23,7.05,11.01,0.23,0.42,4.24,11.86,0.81,0.56,0.37,86.42,30.86,58.67,58.61,122.80,55.12,93.80,29.28,28.94,0.81,2.22,-0.56,10.56,7.50
YLLG SP Equity,31/12/2017,-0FY,BB-,SI,Real Estate Management & Devel,NA,25638.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.55,12.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
000671 CH Equity,31/12/2017,-0FY,B,CH,Real Estate Management & Devel,120430.52,18351.41,-6244.38,-17113.87,26108.01,1.29,2.21,9.76,18.10,NA,11.80,11.67,11.67,6.70,6.43,-34.20,0.19,8.74,26.64,0.26,2.20,0.33,0.31,13.74,1425.76,47.55,1391.94,356.63,78.10,371.45,56.75,40.98,16.36,16.54,16.30,31.16,23.63
YRI CN Equity,31/12/2017,-0FY,BB+,CA,Metals & Mining,8763.30,1803.80,484.00,-644.20,218.00,-2.21,-2.44,-4.41,42.21,NA,13.67,-10.00,-10.00,-10.78,2.65,-8.86,0.21,0.24,48.95,4.99,1.08,0.24,0.19,7.46,73.11,93.01,-12.45,39.30,28.21,40.52,28.21,40.34,-2.48,3.39,-5.46,7.09,6.49
XYL US Equity,31/12/2017,-0FY,BBB,US,Machinery,6860.00,4707.00,686.00,-181.00,-399.00,4.96,8.35,14.11,39.32,NA,16.78,11.81,11.81,7.03,7.39,10.96,0.71,7.48,5.23,5.46,1.88,1.25,0.38,69.75,66.84,64.24,72.35,87.34,46.62,87.89,46.62,47.24,6.78,9.63,7.56,2.78,2.26
XPO US Equity,31/12/2017,-0FY,BB-,US,Air Freight & Logistics,12601.60,15380.80,798.60,-424.70,-350.40,2.80,6.63,10.04,47.15,NA,8.33,4.05,4.05,2.21,1.60,1.92,1.27,5.91,6.11,NA,1.20,1.04,0.13,59.79,NA,51.79,NA,112.75,53.00,123.98,51.78,44.40,2.19,4.51,2.74,3.53,3.22
XPER US Equity,31/12/2017,-0FY,BB-,US,Semiconductors & Semiconductor,1110.02,373.73,147.27,-18.84,-55.79,-4.93,-3.62,-11.99,98.31,NA,23.45,-8.43,-8.43,-15.13,-5.06,38.51,0.33,10.20,22.74,NA,2.54,2.25,2.07,16.05,NA,340.35,NA,133.08,57.10,125.17,53.70,52.04,-1.11,3.10,2.98,6.61,4.32
XIN US Equity,31/12/2017,-0FY,B,CH,Real Estate Management & Devel,6481.93,1980.24,NA,NA,NA,1.15,2.89,6.49,23.09,NA,NA,12.41,12.41,3.11,3.30,NA,0.37,59.58,29.34,0.61,1.36,0.34,0.31,12.44,602.13,114.40,500.17,313.50,75.82,143.16,32.52,24.82,3.71,NA,NA,NA,NA
002202 CH Equity,31/12/2017,-0FY,BBB-,CH,Electrical Equipment,64437.17,26173.89,2632.40,-7208.38,5961.02,5.13,10.79,16.14,28.88,NA,18.87,15.34,15.34,11.47,10.36,-11.00,0.45,1.42,1.65,5.98,1.34,1.03,0.34,222.02,61.24,NA,NA,87.40,46.64,77.19,39.75,29.60,5.85,6.88,-0.80,3.66,1.99
600208 CH Equity,31/12/2017,-0FY,B,CH,Real Estate Management & Devel,111571.62,12856.80,1136.23,-2528.85,5456.29,5.82,9.44,21.96,15.52,NA,9.45,9.07,9.07,45.41,5.08,5.37,0.13,14.20,155.22,0.22,2.30,0.50,0.50,2.36,1698.34,39.87,1660.83,176.74,63.87,151.29,53.12,42.66,0.87,0.91,0.58,43.49,29.52
XRX US Equity,31/12/2017,-0FY,BBB-,US,"Technology Hardware, Storage &",15946.00,10265.00,34.00,-31.00,-933.00,1.15,2.21,3.93,39.56,24.59,12.06,6.93,6.93,1.90,7.90,-0.34,0.60,9.26,4.03,7.07,1.91,1.49,0.47,90.55,51.66,64.94,77.26,100.18,50.05,98.96,47.49,48.28,2.82,4.91,4.64,4.46,3.41
XRM US Equity,31/12/2017,-0FY,B,US,Machinery,567.85,481.05,24.72,-11.74,-8.53,-2.64,NA,NA,38.43,NA,19.03,11.39,11.39,-3.04,-0.86,2.43,0.87,1.70,6.62,4.07,1.59,0.76,0.14,55.12,89.68,46.23,98.58,NA,136.64,NA,131.54,102.37,NA,NA,NA,5.56,5.37
XEL US Equity,31/12/2017,-0FY,A-,US,Electric Utilities,43030.00,11404.00,3126.00,-3296.00,168.00,2.73,5.93,10.22,59.54,NA,33.31,19.20,19.20,10.07,10.27,-1.94,0.27,0.34,7.44,7.60,0.73,0.40,0.02,49.08,48.03,90.38,6.73,137.85,57.96,126.76,53.29,NA,3.49,5.44,0.65,4.16,4.13
FIVE LI Equity,31/12/2017,-0FY,BB,RU,Food & Staples Retailing,473485.00,1033667.00,74915.00,-77279.00,11596.00,5.09,13.28,19.24,24.18,NA,7.02,4.41,4.41,2.16,2.45,0.60,2.36,4.91,49.14,11.90,0.57,0.18,0.08,7.45,30.75,53.77,-15.57,122.82,55.12,87.27,39.16,25.15,2.72,4.26,0.23,2.15,1.90
WYNN US Equity,31/12/2017,-0FY,BB-,US,"Hotels, Restaurants & Leisure",12681.74,6306.37,1876.58,-957.63,-567.59,6.07,10.83,135.14,37.15,NA,25.50,16.74,16.74,11.85,13.43,14.92,0.51,0.75,36.64,48.58,1.77,1.63,1.54,9.96,7.51,27.02,-9.55,892.90,89.93,1009.23,89.34,76.28,2.72,3.95,1.65,5.99,4.14
1128 HK Equity,31/12/2017,-0FY,BB-,U2,"Hotels, Restaurants & Leisure",42945.47,22099.48,5184.38,-6783.95,-2540.34,3.37,6.44,43.80,98.47,NA,17.45,10.25,10.25,6.50,10.59,-7.26,0.52,0.63,NA,1.31,0.51,0.33,0.33,NA,279.54,790.07,NA,1311.42,92.91,1311.42,92.91,76.06,2.74,3.06,-2.33,8.34,7.67
WYN US Equity,31/12/2017,-0FY,BBB-   *-,US,"Hotels, Restaurants & Leisure",10403.00,5076.00,987.00,-394.00,-545.00,8.61,22.15,109.42,95.59,NA,18.22,14.03,14.03,17.16,11.13,16.39,0.50,4.81,13.34,0.69,1.17,0.20,0.05,27.36,529.58,336.98,219.96,441.68,81.54,432.35,79.36,67.11,4.56,5.85,4.87,4.22,4.09
GWW US Equity,31/12/2017,-0FY,A+,US,Trading Companies & Distributo,5804.25,10424.86,1056.56,-146.08,-857.74,10.19,16.24,33.32,39.31,NA,12.59,10.06,10.06,5.62,6.38,7.86,1.81,7.41,8.18,4.46,2.13,1.10,0.22,44.61,81.79,39.71,86.69,128.16,56.17,133.01,53.91,42.55,13.03,15.92,13.04,1.78,1.54
WUW GR Equity,31/12/2017,-0FY,BBB+,GE,Insurance,72275.64,6032.19,-1557.97,1878.93,-241.55,0.32,NA,6.28,NA,NA,NA,NA,4.70,3.86,3.85,-27.43,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741.02,88.11,97.99,11.59,NA,NA,NA,NA,NA,NA
GRA US Equity,31/12/2017,-0FY,BB+,US,Chemicals,2907.00,1716.50,319.20,-129.90,-127.10,0.38,0.76,3.58,38.64,NA,22.84,16.34,16.34,0.65,13.15,11.30,0.59,2.25,6.14,4.59,1.63,0.98,0.34,59.44,79.52,70.11,68.86,586.37,85.43,594.31,84.32,75.52,3.53,4.84,3.29,3.94,3.55
WRB US Equity,31/12/2017,-0FY,BBB+,US,Insurance,24299.92,7684.76,710.88,-333.46,-222.23,2.30,8.43,10.50,NA,NA,NA,NA,11.97,7.15,4.16,7.74,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.99,31.97,46.15,31.17,NA,NA,NA,NA,NA,NA
WPX US Equity,31/12/2017,-0FY,B+,US,"Oil, Gas & Consumable Fuels",8207.00,1336.00,507.00,-1438.00,624.00,-0.21,1.67,-0.87,18.64,NA,53.59,3.22,3.22,-1.20,-12.43,-48.95,0.17,0.20,5.63,28.61,0.76,0.59,0.23,64.89,12.76,110.93,-33.28,62.39,38.42,66.25,38.42,39.49,0.23,3.81,-2.37,3.60,3.33
WPP LN Equity,31/12/2017,-0FY,BBB,GB,Media,33668.70,15265.40,1408.10,-499.70,-812.80,5.32,12.95,19.31,20.80,NA,15.53,12.50,12.50,11.90,11.02,7.33,0.45,15.67,1.91,29.32,0.98,0.66,0.15,190.61,12.45,304.33,-101.27,69.01,40.83,65.84,37.12,24.33,7.35,9.13,8.02,2.90,1.89
WPC US Equity,31/12/2017,-0FY,BBB,US,Equity Real Estate Investment,8231.40,848.30,516.07,225.90,-735.14,3.32,3.67,8.54,NA,NA,73.08,42.27,42.27,32.69,30.12,55.30,0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.00,55.55,37.14,15.44,NA,2.16,3.73,3.45,6.88,6.62
WOR US Equity,31/12/2017,-0FY,BBB,US,Metals & Mining,2325.34,3014.11,335.67,-62.96,-78.82,9.32,15.21,23.44,17.78,NA,9.95,7.07,7.07,6.79,7.09,8.87,1.37,5.23,6.70,7.36,2.29,1.45,0.53,54.51,49.58,47.65,56.44,53.88,35.01,60.09,34.60,31.42,7.15,10.07,7.77,1.93,1.00
WRLD US Equity,31/12/2017,-0FY,B+,US,Consumer Finance,800.59,531.73,219.36,-131.61,-84.93,9.16,9.67,17.26,NA,NA,26.88,NA,21.44,13.84,14.42,41.66,0.66,21.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.01,39.03,64.01,39.03,NA,NA,6.65,NA,2.07,1.96
000030 KS Equity,31/12/2017,-0FY,A,SK,Banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOW AU Equity,31/12/2017,-0FY,BBB,AU,Food & Staples Retailing,22915.80,55668.60,3125.50,-1434.90,-1729.90,6.61,13.31,17.04,28.61,NA,6.08,4.18,4.18,2.75,2.66,2.23,2.40,6.67,482.19,9.20,0.79,0.12,0.10,0.75,39.56,45.79,-5.47,30.69,23.48,29.15,21.52,18.40,11.54,14.63,6.48,0.89,0.63
WPL AU Equity,31/12/2017,-0FY,BBB+,AU,"Oil, Gas & Consumable Fuels",25401.00,3908.00,2385.00,-1568.00,-784.00,4.08,5.51,6.85,49.77,NA,73.03,42.22,42.22,26.20,26.20,25.46,0.16,0.17,16.22,11.72,0.93,0.55,0.29,22.51,31.14,39.60,14.05,31.90,24.18,33.15,23.82,33.20,47.14,14.13,7.25,1.77,1.66
WWW US Equity,31/12/2017,-0FY,BB+,US,"Textiles, Apparel & Luxury Goo",2399.00,2350.00,202.70,-1.00,-90.50,0.01,NA,0.03,38.91,NA,2.60,1.02,1.02,0.01,6.65,7.25,0.97,16.62,8.79,4.59,2.97,2.08,1.33,41.40,79.29,41.79,78.90,81.93,45.03,78.41,42.85,45.08,NA,NA,NA,12.81,4.94
WKL NA Equity,31/12/2017,-0FY,BBB+,NE,Professional Services,8486.00,4422.00,941.00,-410.00,-169.00,7.75,14.06,27.11,69.81,NA,28.61,19.65,19.65,15.15,12.35,16.53,0.51,38.96,3.56,12.54,0.76,0.66,0.29,102.64,29.12,NA,NA,132.26,56.94,87.76,37.72,31.15,8.05,11.71,9.77,2.43,1.62
WPRO IN Equity,31/12/2017,-0FY,A-,IN,IT Services,793516.00,550402.00,108154.00,-133663.00,-22165.00,11.19,13.77,17.23,28.86,NA,20.57,16.37,16.37,15.42,14.41,15.86,0.73,8.17,5.66,84.16,2.35,1.92,1.50,64.48,4.34,21.94,46.87,27.25,21.41,3.77,2.95,5.20,47.03,59.09,48.20,1.26,-1.79
WGO US Equity,31/12/2017,-0FY,BB-,US,Automobiles,902.51,1547.12,97.13,-405.39,258.62,11.03,16.74,20.09,14.39,NA,10.15,8.09,8.09,4.61,4.89,5.37,2.39,24.27,16.22,10.00,1.88,0.96,0.22,22.44,36.38,16.70,42.12,62.17,38.34,61.52,37.94,32.54,7.43,9.33,8.50,1.75,1.52
WIN US Equity,31/12/2017,-0FY,B,US,Diversified Telecommunication,11084.30,5852.90,950.70,-983.20,16.80,-18.52,-30.27,NA,47.75,15.35,-2.11,-27.23,-27.23,-36.16,-1.91,0.72,0.51,1.10,9.28,35.88,0.60,0.44,0.03,39.34,10.17,52.50,-2.98,NA,127.44,NA,119.88,97.79,-1.82,-0.14,-1.17,NA,NA
WLTW US Equity,31/12/2017,-0FY,BBB,GB,Insurance,32458.00,8202.00,862.00,-335.00,-367.00,1.81,4.94,5.63,NA,NA,19.15,9.00,9.00,6.93,8.91,6.85,0.26,8.99,3.79,NA,1.07,0.22,0.07,96.26,NA,NA,NA,44.13,30.62,43.95,30.04,22.88,3.93,8.36,6.76,2.89,2.23
WSC US Equity,31/12/2017,-0FY,B+,US,Real Estate Management & Devel,501.60,0.00,0.43,-1.25,0.00,0.11,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,25.62,0.01,0.01,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA
WPZ US Equity,31/12/2017,-0FY,BBB,US,"Oil, Gas & Consumable Fuels",45903.00,8010.00,2840.00,660.00,-2764.00,1.89,4.37,3.94,30.56,NA,34.12,12.90,12.90,10.87,20.64,5.31,0.17,0.29,8.44,44.32,0.87,0.76,0.36,43.24,8.24,50.96,0.52,69.64,41.05,72.61,39.80,43.06,1.26,3.20,0.37,6.04,5.71
WMB US Equity,31/12/2017,-0FY,BB+,US,"Oil, Gas & Consumable Fuels",46352.00,8031.00,2556.00,633.00,-2460.00,4.67,8.61,30.41,71.36,NA,32.87,11.26,11.26,27.07,13.52,1.44,0.17,0.28,8.39,18.33,0.82,0.71,0.34,43.49,19.92,128.43,-65.02,129.43,56.41,211.62,55.06,59.40,0.83,2.37,0.18,7.93,7.59
WMH LN Equity,31/12/2017,-0FY,BB+    *-,GB,"Hotels, Restaurants & Leisure",2362.00,1711.10,294.30,-82.50,-110.30,-3.46,-2.83,-7.27,74.75,NA,2.51,-2.61,-2.61,-4.86,13.88,16.37,0.71,8.49,NA,NA,0.82,0.66,0.66,NA,NA,NA,NA,67.80,40.40,67.80,40.40,34.78,-1.18,1.13,0.76,16.79,9.41
WRD US Equity,31/12/2017,-0FY,B,US,"Oil, Gas & Consumable Fuels",1442.28,132.32,22.26,-567.55,505.27,-3.91,-3.92,-1.26,NA,NA,52.98,-8.50,-8.50,-35.58,8.85,-411.93,0.11,0.11,6.59,NA,0.53,0.50,0.05,55.55,NA,NA,NA,24.09,19.41,24.09,19.41,26.06,-1.44,8.95,-63.47,3.46,3.42
WLL US Equity,31/12/2017,-0FY,BB-,US,"Oil, Gas & Consumable Fuels",8403.03,1489.72,577.11,73.40,155.65,-13.54,-13.64,-27.32,3.38,NA,-30.16,-93.86,-93.86,-83.08,-7.16,-18.76,0.16,0.18,6.50,NA,0.77,0.75,0.57,56.12,NA,8.23,NA,95.01,48.72,70.54,36.18,34.88,-7.32,-2.35,-6.83,NA,NA
WTM US Equity,31/12/2017,-0FY,BBB,US,Insurance,3659.20,373.80,NA,NA,NA,12.29,16.05,17.68,NA,NA,NA,NA,2.70,167.79,-9.88,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.70,0.68,0.70,NA,NA,NA,NA,NA,NA
WHR US Equity,31/12/2017,-0FY,BBB,US,Household Durables,20038.00,21253.00,1264.00,-655.00,-498.00,1.79,3.88,7.80,16.95,NA,8.42,5.35,5.35,1.65,4.58,2.73,1.08,5.42,7.91,6.29,0.93,0.45,0.14,46.16,58.01,93.33,10.85,101.76,50.43,104.62,42.45,31.96,7.01,11.05,6.83,2.92,2.25
288 HK Equity,31/12/2017,-0FY,BBB,HK,Food Products,13611.00,21534.00,1867.00,-158.00,-1711.00,7.42,13.32,17.15,19.54,NA,10.29,8.54,8.54,4.81,5.20,6.28,1.54,4.48,28.37,6.63,1.46,0.58,0.34,12.90,55.17,17.60,50.48,41.22,29.19,29.92,19.02,23.88,10.05,12.04,9.25,1.31,0.80
WGL US Equity,31/12/2017,-0FY,A,US,Gas Utilities,6626.01,2354.72,230.63,-650.71,423.03,3.06,6.43,13.38,45.76,NA,21.03,14.48,14.48,8.24,6.08,-12.14,0.37,0.54,4.68,5.22,0.66,0.36,0.01,78.07,69.98,115.01,33.04,145.72,59.30,95.22,37.87,NA,4.61,6.69,-0.29,4.53,4.51
