Order,PID,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Pool.QC,Fence,Misc.Feature,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,SalePrice
16,527216070,60,1,47.0,53504,1,0,3,2,1,3,2,3,1,1,1,2,8,5,2003,2003,1,1,4,7,3,603.0,3,1,2,2,2,1,3,1416,1,0,234,1650,1,3,1,1,1690,1589,0,3279,1,0,3,1,4,1,3,12,2,1,1,2,2003.0,1,3.0,841.0,1,1,2,503,36,0,0,210,0,0,0,0,0,6,2010,1,1,538000
17,527225035,50,1,152.0,12134,1,0,1,3,1,2,2,2,1,1,1,3,8,7,1988,2005,2,1,3,3,2,0.0,2,1,3,2,2,4,4,427,1,0,132,559,1,4,1,1,1080,672,0,1752,0,0,2,0,4,1,1,8,1,0,0,3,1988.0,3,2.0,492.0,1,1,2,325,12,0,0,0,0,0,0,0,0,6,2010,1,1,164000
18,527258010,20,1,88.0,11394,1,0,2,1,1,1,1,3,1,1,1,1,9,2,2010,2010,1,1,2,2,1,350.0,2,1,2,3,2,4,4,1445,1,0,411,1856,1,3,1,1,1856,0,0,1856,1,0,1,1,1,1,3,8,1,1,4,1,2010.0,1,3.0,834.0,1,1,2,113,0,0,0,0,0,0,0,0,0,6,2010,2,2,394432
19,527276150,20,1,140.0,19138,1,0,2,1,1,1,1,2,1,1,1,1,4,5,1951,1951,2,1,2,2,2,0.0,1,1,1,1,2,2,6,120,1,0,744,864,1,3,1,1,864,0,0,864,0,0,1,0,2,1,1,4,1,0,0,4,1951.0,2,2.0,400.0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,2010,1,1,141000
21,527358140,20,1,105.0,11751,1,0,1,1,1,2,1,4,1,1,1,1,6,6,1977,1977,1,1,6,1,3,480.0,1,1,1,2,2,2,1,705,1,0,1139,1844,1,3,1,1,1844,0,0,1844,0,0,2,0,3,1,1,7,1,1,2,1,1977.0,3,2.0,546.0,1,1,2,0,122,0,0,0,0,0,1,0,0,1,2010,3,1,190000
22,527358200,85,1,85.0,10625,1,0,2,1,1,2,1,4,1,1,1,4,7,6,1974,1974,2,1,6,1,3,81.0,1,1,1,2,2,1,4,885,2,168,0,1053,1,2,1,1,1173,0,0,1173,1,0,2,0,3,1,2,6,1,2,2,1,1974.0,3,2.0,528.0,1,1,2,0,120,0,0,0,0,0,1,0,0,1,2010,1,3,170000
24,527402200,20,1,0.0,11241,1,0,1,1,1,3,1,1,1,1,1,1,6,7,1970,1970,2,1,3,3,3,180.0,1,1,1,1,2,2,3,578,1,0,426,1004,1,3,1,1,1004,0,0,1004,1,0,1,0,2,1,1,5,1,1,2,1,1970.0,1,2.0,480.0,1,1,2,0,0,0,0,0,0,0,0,2,700,3,2010,1,1,149000
28,527425090,20,1,70.0,10500,1,0,2,1,1,4,1,1,1,1,1,1,4,5,1971,1971,2,1,5,6,2,0.0,1,1,1,1,2,2,3,432,1,0,432,864,1,2,1,1,864,0,0,864,0,0,1,0,3,1,1,5,1,1,3,0,0.0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2010,4,1,115000
29,527427230,120,2,26.0,5858,1,0,1,1,1,4,1,1,1,1,2,1,7,5,1999,1999,2,1,7,8,2,0.0,2,1,2,2,2,2,4,1051,3,0,354,1405,1,3,1,1,1337,0,0,1337,1,0,2,0,2,1,2,5,1,1,5,1,1999.0,1,2.0,511.0,1,1,2,203,68,0,0,0,0,0,0,0,0,6,2010,1,1,184000
30,527451180,160,3,21.0,1680,1,0,2,1,1,2,1,5,1,1,3,2,6,5,1971,1971,2,1,5,6,3,504.0,1,1,1,1,2,2,2,156,1,0,327,483,1,2,1,1,483,504,0,987,0,0,1,1,2,1,1,5,1,0,0,4,1971.0,2,1.0,264.0,1,1,2,275,0,0,0,0,0,0,0,0,0,2,2010,3,1,96000
31,527451330,160,3,21.0,1680,1,0,2,1,1,2,1,5,1,1,3,2,5,5,1971,1971,2,1,5,6,3,492.0,1,1,1,1,2,2,2,300,1,0,225,525,1,2,1,1,525,567,0,1092,0,0,1,1,3,1,1,6,1,0,0,4,1997.0,2,1.0,320.0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,2010,1,1,105500
33,527452190,120,1,53.0,4043,1,0,2,1,1,2,1,6,1,1,2,1,6,5,1977,1977,2,1,6,1,2,0.0,1,1,1,2,2,2,3,360,1,0,709,1069,1,2,1,1,1069,0,0,1069,0,0,2,0,2,1,1,4,1,1,5,1,1977.0,3,2.0,440.0,1,1,2,0,55,0,0,165,0,0,0,0,0,7,2010,1,1,127500
35,527453150,120,1,24.0,2280,1,0,2,1,1,4,1,6,1,1,3,1,7,6,1975,1975,2,1,6,9,2,0.0,1,1,1,2,2,2,5,0,1,0,836,836,1,3,1,1,836,0,0,836,0,0,1,0,2,1,1,4,1,0,0,1,1975.0,2,1.0,308.0,1,1,2,0,30,0,0,0,0,0,0,0,0,6,2010,1,1,120000
36,527454200,160,1,24.0,2280,1,0,2,1,1,2,1,6,1,1,3,2,6,5,1978,1978,2,1,6,9,2,0.0,1,1,1,2,2,2,3,311,1,0,544,855,1,1,1,1,855,601,0,1456,0,0,2,1,3,1,1,7,1,1,2,1,1978.0,2,2.0,440.0,1,1,2,26,0,0,0,0,0,0,0,0,0,7,2010,1,1,146000
37,528108120,60,1,102.0,12858,1,0,1,1,1,2,1,7,1,1,1,2,9,5,2009,2010,2,1,2,2,1,162.0,3,1,2,3,2,2,5,0,1,0,1590,1590,1,3,1,1,1627,707,0,2334,0,0,2,1,3,1,3,10,1,1,1,1,2009.0,1,3.0,751.0,1,1,2,144,133,0,0,0,0,0,0,0,0,1,2010,2,2,376162
38,528112020,20,1,98.0,11478,1,0,2,1,1,2,1,7,1,1,1,1,8,5,2007,2008,2,1,2,2,1,200.0,2,1,2,3,2,2,4,1218,1,0,486,1704,1,3,1,1,1704,0,0,1704,1,0,2,0,3,1,2,7,1,1,1,1,2008.0,3,3.0,772.0,1,1,2,0,50,0,0,0,0,0,0,0,0,5,2010,1,1,306000
39,528120060,20,1,83.0,10159,1,0,1,1,1,2,1,7,1,1,1,1,9,5,2009,2010,1,1,2,2,1,450.0,3,1,2,3,2,4,4,1646,1,0,284,1930,1,3,1,1,1940,0,0,1940,1,0,2,1,3,1,3,8,1,1,1,1,2010.0,1,3.0,606.0,1,1,2,168,95,0,0,0,0,0,0,0,0,4,2010,2,2,395192
41,528120100,20,1,95.0,12182,1,0,2,1,1,1,1,7,1,1,1,1,7,5,2005,2005,2,1,2,2,3,226.0,2,1,2,2,2,3,1,1201,1,0,340,1541,1,3,1,1,1541,0,0,1541,0,0,2,0,3,1,2,7,1,1,1,1,2005.0,3,2.0,532.0,1,1,2,0,70,0,0,0,0,0,0,0,0,5,2010,2,2,220000
42,528120120,20,1,90.0,11520,1,0,2,1,1,2,1,7,3,1,1,1,9,5,2005,2005,1,1,2,2,3,615.0,2,1,2,3,2,2,4,110,1,0,1588,1698,1,3,1,1,1698,0,0,1698,0,0,2,0,3,1,3,7,1,1,1,1,2005.0,1,3.0,730.0,1,1,2,192,74,0,0,0,0,0,0,0,0,6,2010,1,1,275000
43,528138020,20,1,79.0,14122,1,0,1,1,1,2,1,7,1,1,1,1,8,5,2005,2006,1,1,4,5,3,240.0,2,1,2,3,2,2,4,28,1,0,1794,1822,1,3,1,1,1822,0,0,1822,0,0,2,0,3,1,3,8,1,1,1,1,2005.0,3,3.0,678.0,1,1,2,0,119,0,0,0,0,0,0,0,0,2,2010,1,1,259000
44,528138060,20,1,70.0,10171,1,0,1,1,1,2,1,7,1,1,1,1,7,5,2004,2004,2,1,2,2,3,168.0,2,1,2,2,2,2,4,2,1,0,1515,1517,1,3,1,1,1535,0,0,1535,0,0,2,0,3,1,2,7,1,0,0,1,2004.0,3,2.0,532.0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,2010,1,1,214000
45,528150070,20,1,100.0,12919,1,0,1,1,1,2,1,7,1,1,1,1,9,5,2009,2010,1,1,2,2,1,760.0,3,1,2,3,2,1,4,2188,1,0,142,2330,1,3,1,1,2364,0,0,2364,1,0,2,1,2,1,3,11,1,2,1,1,2009.0,1,3.0,820.0,1,1,2,0,67,0,0,0,0,0,0,0,0,3,2010,2,2,611657
47,528176010,20,1,110.0,14300,1,0,2,2,1,2,2,7,1,1,1,1,9,5,2003,2004,1,1,2,2,3,1095.0,3,1,2,3,2,1,4,1373,1,0,1473,2846,1,3,1,1,2696,0,0,2696,1,0,2,1,3,1,3,10,1,2,1,1,2003.0,1,3.0,958.0,1,1,2,220,150,0,0,0,0,0,0,0,0,6,2010,1,1,500000
50,528181050,120,1,41.0,7132,1,0,1,1,1,2,1,7,1,1,2,1,8,5,2006,2006,2,1,2,2,1,178.0,2,1,2,2,2,3,4,24,1,0,1346,1370,1,3,1,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,1,1,2006.0,3,2.0,484.0,1,1,2,120,49,0,0,0,0,0,0,0,0,4,2010,1,1,205000
51,528188120,160,1,36.0,2628,1,0,2,1,1,2,1,7,1,1,3,2,7,5,2003,2003,2,1,2,7,1,106.0,2,1,2,2,2,2,5,0,1,0,764,764,1,3,1,1,764,862,0,1626,0,0,2,1,2,1,2,6,1,0,0,2,2003.0,3,2.0,474.0,1,1,2,0,27,0,0,0,0,0,0,0,0,6,2010,1,1,175500
52,528218150,20,1,100.0,18494,1,0,1,1,1,1,1,2,1,1,1,1,6,5,2005,2005,2,1,2,2,2,0.0,2,1,2,2,2,2,5,0,1,0,1324,1324,1,3,1,1,1324,0,0,1324,0,0,2,0,3,1,2,6,1,0,0,1,2005.0,1,2.0,430.0,1,1,2,36,23,0,0,0,0,0,0,0,0,1,2010,1,1,199500
53,528228285,120,1,43.0,3203,1,0,2,1,1,2,1,8,1,1,2,1,7,5,2006,2006,2,1,2,2,3,14.0,2,1,2,2,2,4,4,16,1,0,1129,1145,1,3,1,1,1145,0,0,1145,0,0,2,0,2,1,2,6,1,0,0,1,2006.0,1,2.0,437.0,1,1,2,100,116,0,0,0,0,0,0,0,0,1,2010,1,1,160000
54,528228440,120,1,43.0,3182,1,0,2,1,1,2,1,8,1,1,2,1,8,5,2004,2005,2,1,2,2,3,16.0,2,1,2,2,2,2,4,24,1,0,1232,1256,1,3,1,1,1269,0,0,1269,0,0,2,0,2,1,2,6,1,1,2,1,2004.0,1,2.0,430.0,1,1,2,146,20,0,0,144,0,0,0,0,0,4,2010,1,1,192000
55,528231020,80,1,67.0,13300,1,0,1,1,1,2,1,2,1,1,1,5,7,5,2004,2004,2,1,2,2,2,0.0,2,1,2,2,2,2,4,326,1,0,58,384,1,3,1,1,744,630,0,1374,1,0,2,1,3,1,2,7,1,1,1,2,2004.0,1,2.0,400.0,1,1,2,100,0,0,0,0,0,0,0,0,0,6,2010,1,1,184500
58,528250100,80,1,0.0,7750,1,0,1,1,1,2,1,2,1,1,1,5,7,5,2000,2000,2,1,2,2,2,0.0,1,1,2,2,2,2,4,250,1,0,134,384,1,3,1,1,774,656,0,1430,0,0,2,1,3,1,1,7,1,1,2,2,2000.0,1,2.0,400.0,1,1,2,180,0,0,0,0,0,0,0,0,0,4,2010,1,1,180000
61,528344070,60,1,60.0,17433,1,0,3,1,1,3,1,9,1,1,1,2,8,5,1998,1998,1,1,2,2,3,114.0,2,1,2,3,2,2,5,0,1,0,1629,1629,1,3,1,1,1645,830,0,2475,0,0,2,1,4,1,2,7,1,1,2,1,1998.0,1,3.0,962.0,1,1,2,23,172,0,0,256,0,0,0,0,0,1,2010,1,1,355000
63,528363130,60,1,98.0,12256,1,0,1,1,1,1,1,9,1,1,1,2,8,5,1994,1995,2,1,5,6,3,362.0,2,1,2,3,2,4,4,1032,1,0,431,1463,1,3,1,1,1500,1122,0,2622,1,0,2,1,3,1,2,9,1,2,2,1,1994.0,3,2.0,712.0,1,1,2,186,32,0,0,0,0,0,0,0,0,4,2010,1,1,325000
66,528386040,50,1,56.0,14720,1,0,1,1,1,3,1,9,1,1,1,3,8,5,1995,1996,1,1,2,2,3,579.0,2,1,2,2,2,4,4,816,1,0,1217,2033,1,3,1,1,2053,1185,0,3238,1,0,2,1,4,1,2,9,1,1,4,1,1996.0,1,3.0,666.0,1,1,2,283,86,0,0,0,0,0,0,0,0,3,2010,1,1,410000
69,528458070,60,4,72.0,8640,1,0,2,1,1,2,1,10,1,1,1,2,7,5,2009,2009,2,1,2,2,2,0.0,1,1,2,2,2,3,4,24,1,0,732,756,1,3,1,1,764,783,0,1547,0,0,2,1,3,1,2,7,1,0,0,1,2009.0,2,2.0,614.0,1,1,2,169,45,0,0,0,0,0,0,0,0,6,2010,5,1,215200
71,528477080,60,4,100.0,12552,1,0,2,1,1,1,1,10,1,1,1,2,7,5,2004,2005,2,1,2,2,2,0.0,2,1,2,2,2,2,4,222,1,0,769,991,1,3,1,1,991,956,0,1947,0,0,2,1,3,1,2,8,1,1,1,1,2004.0,3,2.0,678.0,1,1,2,0,136,0,0,0,0,0,2,0,0,5,2010,1,1,254900
72,528480090,20,4,84.0,10440,1,0,2,1,1,1,1,10,1,1,1,1,6,5,2005,2005,2,1,2,2,2,0.0,2,1,2,3,2,2,4,1414,1,0,54,1468,1,3,1,1,1468,0,0,1468,1,0,2,0,2,1,2,6,1,1,1,1,2005.0,1,2.0,528.0,1,1,2,0,102,0,0,216,0,0,0,0,0,5,2010,1,1,271500
73,531367050,60,1,76.0,10142,1,0,1,1,1,2,1,11,1,1,1,2,7,5,2004,2004,2,1,2,2,2,0.0,2,1,2,2,2,2,4,656,1,0,300,956,1,3,1,1,956,1128,0,2084,1,0,2,1,4,1,2,8,1,0,0,2,2004.0,3,2.0,618.0,1,1,2,0,45,0,0,0,0,0,0,0,0,1,2010,1,1,233000
74,531369060,60,1,70.0,11920,1,0,2,1,1,2,1,11,1,1,1,2,7,5,2004,2004,2,1,2,2,3,122.0,2,1,2,2,2,4,5,0,1,0,831,831,1,3,1,1,831,828,0,1659,0,0,2,1,3,1,2,8,1,0,0,1,2004.0,3,2.0,484.0,1,1,2,144,68,0,0,0,0,0,0,0,0,4,2010,1,1,181000
75,531380080,60,1,0.0,8880,1,0,1,1,1,2,1,11,1,1,1,2,7,5,1994,2002,2,1,2,2,2,0.0,2,1,2,2,2,2,4,695,1,0,253,948,1,3,1,1,1222,888,0,2110,1,0,2,1,3,1,2,8,1,2,5,1,1994.0,3,2.0,463.0,1,1,2,0,130,0,0,0,0,0,0,0,0,5,2010,1,1,205000
76,531451110,120,1,50.0,8012,1,0,2,1,1,2,1,11,1,1,2,1,6,5,1980,1980,2,1,6,1,2,0.0,1,1,1,2,2,2,1,543,3,119,261,923,1,2,1,1,923,0,0,923,0,0,2,0,2,1,1,5,1,1,2,1,1980.0,3,1.0,264.0,1,1,2,80,0,0,0,0,0,0,0,0,0,5,2010,1,1,143000
77,531451280,60,1,70.0,11218,1,0,2,1,1,2,1,11,1,1,1,2,6,5,1992,1992,2,1,3,3,2,0.0,2,1,2,2,2,2,5,0,1,0,1055,1055,1,3,1,1,1055,790,0,1845,0,0,2,1,3,1,2,8,1,1,2,1,1992.0,3,2.0,462.0,1,1,2,635,104,0,0,0,0,0,3,2,400,5,2010,1,1,189000
79,531452050,120,1,50.0,7175,1,0,2,1,1,2,1,11,1,1,2,1,6,5,1984,1984,2,1,6,1,2,0.0,1,1,1,2,2,2,3,623,2,121,0,744,1,2,1,1,752,0,0,752,1,0,1,0,2,1,1,4,1,0,0,1,1984.0,2,1.0,264.0,1,1,2,353,0,0,0,90,0,0,1,0,0,2,2010,1,1,125000
80,531452180,60,1,0.0,9453,1,0,1,1,1,3,1,11,4,1,1,2,7,7,1993,2003,2,1,5,6,2,0.0,2,1,2,2,2,2,1,402,1,0,594,996,1,3,1,1,1014,730,0,1744,0,0,2,1,3,1,2,7,1,0,0,1,1993.0,3,2.0,457.0,1,1,2,370,70,0,238,0,0,0,0,0,0,2,2010,1,1,194500
81,531453010,20,1,81.0,9672,1,0,2,1,1,1,1,11,1,1,1,1,6,5,1984,1985,1,1,5,1,2,0.0,1,1,2,2,2,2,4,338,1,0,702,1040,1,2,1,1,1097,0,0,1097,0,0,2,0,3,1,1,6,1,0,0,1,1986.0,2,2.0,480.0,1,1,2,0,0,0,0,0,0,0,3,0,0,5,2010,1,1,152000
82,531453040,60,1,70.0,8400,1,0,2,1,1,2,1,11,1,1,1,2,6,6,1980,1981,2,1,5,6,3,130.0,1,1,1,2,2,2,5,0,1,0,650,650,1,2,1,1,888,676,0,1564,0,0,2,1,3,1,1,7,1,1,2,1,1980.0,2,2.0,476.0,1,1,2,0,50,0,0,204,0,0,1,0,0,4,2010,1,1,171000
83,531477050,30,2,70.0,9800,1,0,2,1,1,1,1,11,2,1,1,1,5,5,1920,1950,2,1,3,3,2,0.0,1,2,4,1,2,2,5,0,1,0,816,816,1,2,2,2,1012,0,0,1012,0,0,1,0,2,1,1,5,1,0,0,4,1920.0,2,1.0,429.0,1,1,2,121,0,80,0,0,0,0,0,0,0,4,2010,1,1,67500
84,532351140,90,3,68.0,8930,1,0,2,1,1,2,1,12,5,1,4,3,6,5,1978,1978,2,1,2,2,2,0.0,1,1,5,0,0,0,0,0,0,0,0,0,1,2,1,1,1318,584,0,1902,0,0,2,0,4,2,1,8,1,0,0,1,1978.0,2,2.0,539.0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,2010,1,1,112000
85,532354090,85,1,88.0,11782,1,0,1,1,1,2,1,12,1,1,1,4,5,7,1961,1995,2,1,5,6,2,0.0,1,1,1,1,2,4,3,899,1,0,210,1109,1,2,1,1,1155,0,0,1155,1,0,1,0,3,1,2,6,3,0,0,4,1987.0,2,2.0,576.0,1,1,2,192,0,0,0,0,0,0,1,2,400,6,2010,1,1,148000
87,532377060,20,1,0.0,9819,1,0,1,1,1,2,1,12,1,1,1,1,5,5,1967,1967,2,1,7,8,3,31.0,1,3,1,1,2,2,1,450,1,0,432,882,1,2,1,1,900,0,0,900,0,0,1,0,3,1,1,5,1,0,0,4,1970.0,2,1.0,280.0,1,1,2,0,0,0,0,0,0,0,1,0,0,2,2010,1,1,122000
88,532377100,20,1,75.0,7500,1,0,2,1,1,1,1,12,2,1,1,1,5,5,1963,1963,2,1,5,6,2,0.0,1,1,1,1,2,2,3,824,1,0,216,1040,1,1,1,1,1040,0,0,1040,1,0,1,1,3,1,1,5,1,0,0,1,1963.0,1,1.0,308.0,1,1,2,0,0,220,0,0,0,0,1,0,0,6,2010,1,1,133000
89,532378110,20,1,0.0,6897,1,0,1,1,1,1,1,12,1,1,1,1,5,8,1962,2010,2,1,5,6,2,0.0,1,3,1,1,2,2,3,659,1,0,381,1040,1,3,1,1,1040,0,0,1040,1,0,1,1,3,1,1,6,1,0,0,4,1962.0,2,1.0,260.0,1,1,2,0,104,0,0,0,0,0,0,0,0,4,2010,1,1,127000
90,532479070,20,1,39.0,15410,1,0,1,1,1,3,1,12,4,1,1,1,6,6,1974,2002,1,1,6,1,4,250.0,1,3,1,1,2,1,1,126,4,859,223,1208,1,3,1,1,1494,0,0,1494,1,0,2,0,3,1,1,7,1,2,5,1,1974.0,1,2.0,461.0,1,1,2,296,0,186,0,0,0,0,3,0,0,4,2010,1,4,169000
92,533130130,60,1,85.0,13143,1,0,1,1,1,2,1,9,1,1,1,2,8,5,1993,1993,2,1,5,10,3,504.0,2,1,2,2,2,2,6,250,4,981,0,1231,1,3,1,1,1251,1098,0,2349,1,0,2,1,4,1,2,9,1,1,2,1,1993.0,3,3.0,762.0,1,1,2,32,130,0,0,0,0,0,0,0,0,6,2010,1,1,362500
93,533130160,60,1,88.0,11134,1,0,2,1,1,2,1,9,1,1,1,2,8,5,1992,1993,2,1,5,6,3,180.0,2,1,2,2,2,2,4,1129,1,0,261,1390,1,3,1,1,1402,823,0,2225,1,0,2,1,4,1,2,7,1,1,2,1,1992.0,3,3.0,713.0,1,1,2,198,30,0,0,0,0,0,0,0,0,6,2010,1,1,285000
94,533205060,120,4,25.0,4835,1,0,1,1,1,3,1,10,1,1,2,1,7,5,2004,2005,2,1,7,8,2,0.0,2,1,2,3,2,4,4,1298,1,0,190,1488,1,3,1,1,1488,0,0,1488,1,0,2,0,2,1,2,6,1,1,1,1,2004.0,1,2.0,506.0,1,1,2,168,50,0,0,0,0,0,0,0,0,3,2010,1,1,260000
95,533208090,160,4,39.0,3515,1,1,2,1,1,2,1,10,1,1,2,2,7,5,2004,2004,2,1,2,2,2,0.0,2,1,2,2,2,2,5,0,1,0,840,840,1,3,1,1,840,840,0,1680,0,0,2,1,2,1,2,3,1,0,0,1,2004.0,3,2.0,588.0,1,1,2,0,111,0,0,0,0,0,0,0,0,1,2010,1,1,190000
96,533210060,160,4,30.0,3215,1,1,2,1,1,2,1,10,1,1,2,2,7,5,2004,2004,2,1,7,8,3,120.0,2,1,2,2,2,4,4,280,1,0,320,600,1,3,1,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,0,4,2004.0,3,2.0,480.0,1,1,2,0,172,0,0,0,0,0,0,0,0,4,2010,6,1,155000
100,533213030,20,4,0.0,4403,1,0,3,1,1,2,1,10,1,1,1,1,7,5,2009,2009,2,1,7,8,1,432.0,3,1,2,3,2,4,4,578,1,0,892,1470,1,3,1,1,1478,0,0,1478,1,0,2,1,2,1,2,7,1,1,1,1,2009.0,1,2.0,484.0,1,1,2,0,144,0,0,0,0,0,0,0,0,6,2010,2,2,222000
