"Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition"
951,914475010,85,"RL",75,9750,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",767,"Unf",0,135,902,"GasA","Ex","Y","SBrkr",926,0,0,926,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1977,"Unf",1,351,"TA","TA","Y",319,0,0,0,0,0,NA,"MnPrv",NA,0,4,2009,"WD ","Normal"
2684,903235020,30,"RM",50,6000,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story",5,7,1921,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",616,"Unf",0,0,616,"GasA","Gd","Y","SBrkr",616,0,0,616,0,0,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1921,"Unf",1,205,"TA","TA","Y",0,0,129,0,0,0,NA,NA,NA,0,6,2006,"WD ","Normal"
1735,528221090,60,"RL",65,9018,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2007,2007,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,728,728,"GasA","Ex","Y","SBrkr",728,728,0,1456,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2007,"Fin",2,400,"TA","TA","Y",100,24,0,0,0,0,NA,NA,NA,0,7,2007,"New","Partial"
188,902402010,20,"RM",90,7407,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,7,1957,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",600,"Unf",0,312,912,"GasA","TA","Y","FuseA",1236,0,0,1236,1,0,1,0,2,1,"TA",6,"Typ",0,NA,"Attchd",1957,"Unf",2,923,"TA","TA","Y",0,158,158,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD ","Normal"
410,527453050,160,"RL",24,2308,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","TwnhsE","2Story",6,5,1976,1976,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",306,"Unf",0,498,804,"GasA","TA","Y","SBrkr",804,744,0,1548,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Detchd",1976,"RFn",2,440,"TA","TA","Y",108,0,0,0,0,0,NA,NA,NA,0,9,2009,"WD ","Normal"
2502,533127080,60,"RL",NA,14541,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,7,1993,1993,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","Gd","PConc","Gd","Gd","No","GLQ",1012,"Unf",0,326,1338,"GasA","Ex","Y","SBrkr",1352,1168,0,2520,1,0,2,1,5,1,"Gd",10,"Typ",1,"TA","Attchd",1993,"RFn",3,796,"TA","TA","Y",209,55,0,0,0,0,NA,NA,NA,0,11,2006,"WD ","Abnorml"
98,533212020,160,"FV",24,2544,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",368,"ALQ",42,190,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","Normal"
1418,905480240,50,"RL",60,9084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",5,6,1941,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",236,"Rec",380,0,616,"GasA","TA","N","SBrkr",616,495,0,1111,0,1,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1941,"Unf",1,200,"TA","Fa","Y",48,0,0,0,0,0,NA,NA,NA,0,3,2008,"ConLw","Normal"
1464,907262030,60,"RL",65,8158,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",252,"Gd","TA","PConc","Gd","TA","No","GLQ",550,"Unf",0,334,884,"GasA","Ex","Y","SBrkr",884,884,0,1768,1,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,543,"TA","TA","Y",0,63,0,0,0,0,NA,NA,NA,0,7,2008,"WD ","Normal"
2208,909254150,50,"RL",53,5362,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,1910,2003,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,661,661,"GasA","Ex","Y","SBrkr",661,589,0,1250,0,0,2,0,3,1,"TA",8,"Typ",1,"Gd","Detchd",1985,"Unf",2,552,"TA","TA","Y",242,0,81,0,0,0,NA,NA,NA,0,11,2007,"WD ","Normal"
134,534479320,20,"RL",78,7800,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",200,"TA","TA","PConc","TA","TA","No","LwQ",540,"Unf",0,728,1268,"GasA","Gd","Y","SBrkr",1268,0,0,1268,0,0,1,0,2,1,"TA",7,"Typ",1,"Gd","Attchd",1954,"Fin",1,244,"TA","TA","Y",0,98,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal"
151,535302200,20,"RL",119,10895,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Rec",648,"Unf",0,324,972,"GasA","TA","Y","SBrkr",972,0,0,972,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1955,"Unf",1,305,"TA","TA","Y",0,0,205,0,0,0,NA,"GdWo",NA,0,6,2010,"WD ","Normal"
1679,527451020,160,"RM",24,2016,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","TwnhsE","2Story",5,5,1970,1970,"Gable","CompShg","HdBoard","HdBoard","BrkFace",304,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,630,630,"GasA","TA","Y","SBrkr",630,672,0,1302,0,0,2,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1970,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2007,"WD ","Normal"
506,528390210,60,"RL",NA,29959,"Pave",NA,"IR2","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,6,1994,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",595,"Unf",0,378,973,"GasA","Ex","Y","SBrkr",979,871,0,1850,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",1994,"Fin",2,467,"TA","TA","Y",168,98,0,0,0,0,NA,NA,NA,0,1,2009,"WD ","Normal"
2593,535353180,190,"RL",94,22136,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","2fmCon","1.5Fin",5,5,1925,1975,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","CBlock","TA","TA","Mn","GLQ",1018,"Unf",0,1153,2171,"GasA","TA","Y","SBrkr",1392,1248,0,2640,2,0,2,1,5,1,"TA",10,"Maj1",1,"Gd","Attchd",1977,"RFn",3,1008,"TA","TA","N",631,48,148,0,0,0,NA,NA,NA,0,7,2006,"WD ","Normal"
2235,910201050,50,"RM",50,7288,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Artery","Norm","1Fam","1.5Fin",5,7,1925,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","BrkTil","TA","Po","No","Unf",0,"Unf",0,936,936,"GasA","Ex","Y","SBrkr",936,665,0,1601,0,0,2,0,3,1,"TA",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,0,0,176,0,0,NA,NA,NA,0,9,2007,"WD ","Normal"
1728,528218010,60,"RL",59,15810,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","",NA,"Gd","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,768,768,"GasA","Ex","Y","SBrkr",768,728,0,1496,0,0,3,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2007,"Unf",2,572,"TA","TA","Y",100,0,0,0,0,0,NA,NA,NA,0,5,2007,"New","Partial"
1729,528218020,60,"RL",65,10237,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,768,768,"GasA","Ex","Y","SBrkr",768,768,0,1536,0,0,2,1,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,400,"TA","TA","Y",100,38,0,0,0,0,NA,NA,NA,0,6,2007,"WD ","Normal"
2902,921205030,20,"RL",88,11443,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",208,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1460,"Unf",0,408,1868,"GasA","Ex","Y","SBrkr",2028,0,0,2028,1,0,2,0,2,1,"Gd",7,"Typ",2,"Gd","Attchd",2005,"RFn",3,880,"TA","TA","Y",326,66,0,0,0,0,NA,NA,NA,0,3,2006,"New","Partial"
9,527146030,120,"RL",39,5389,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1995,1996,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1180,"Unf",0,415,1595,"GasA","Ex","Y","SBrkr",1616,0,0,1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",1995,"RFn",2,608,"TA","TA","Y",237,152,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal"
