"","x"
"306","WalkingUpstairs"
"307","WalkingUpstairs"
"308","WalkingUpstairs"
"309","WalkingUpstairs"
"310","WalkingUpstairs"
"311","WalkingUpstairs"
"312","WalkingUpstairs"
"313","WalkingUpstairs"
"314","WalkingUpstairs"
"315","WalkingUpstairs"
"316","WalkingUpstairs"
"317","WalkingUpstairs"
"318","WalkingUpstairs"
"319","WalkingUpstairs"
"320","WalkingUpstairs"
"321","WalkingUpstairs"
"322","WalkingUpstairs"
"323","WalkingUpstairs"
"324","WalkingUpstairs"
"325","WalkingUpstairs"
"326","WalkingUpstairs"
"327","WalkingUpstairs"
"328","WalkingUpstairs"
"329","WalkingUpstairs"
"330","WalkingUpstairs"
"331","WalkingDownstairs"
"332","WalkingDownstairs"
"333","WalkingDownstairs"
"334","WalkingDownstairs"
"335","WalkingDownstairs"
"336","WalkingDownstairs"
"337","WalkingDownstairs"
"338","WalkingDownstairs"
"339","WalkingDownstairs"
"340","WalkingDownstairs"
"341","WalkingDownstairs"
"342","WalkingDownstairs"
"343","WalkingDownstairs"
"344","WalkingDownstairs"
"345","WalkingDownstairs"
"346","WalkingDownstairs"
"347","WalkingDownstairs"
"348","Standing"
"349","Standing"
"350","Standing"
"351","Standing"
"352","Standing"
"353","Standing"
"354","Standing"
"355","Standing"
"356","Standing"
"357","Standing"
"358","Standing"
"359","Standing"
"360","Standing"
"361","Standing"
"362","Standing"
"363","Standing"
"364","Standing"
"365","Standing"
"366","Standing"
"367","Standing"
"368","Standing"
"369","Standing"
"370","Standing"
"371","Standing"
"372","Standing"
"373","Standing"
"374","Standing"
"375","Standing"
"376","Standing"
"377","Standing"
"378","Standing"
"379","Sitting"
"380","Sitting"
"381","Sitting"
"382","Sitting"
"383","Sitting"
"384","Sitting"
"385","Sitting"
"386","Sitting"
"387","Sitting"
"388","Sitting"
"389","Sitting"
"390","Sitting"
"391","Sitting"
"392","Sitting"
"393","Sitting"
"394","Sitting"
"395","Sitting"
"396","Sitting"
"397","Sitting"
"398","Sitting"
"399","Sitting"
"400","Sitting"
"401","Sitting"
"402","Sitting"
"403","Sitting"
"404","Sitting"
"405","Laying"
"406","Laying"
"407","Laying"
"408","Laying"
"409","Laying"
"410","Laying"
"411","Laying"
"412","Laying"
"413","Laying"
"414","Laying"
"415","Laying"
"416","Laying"
"417","Laying"
"418","Laying"
"419","Laying"
"420","Laying"
"421","Laying"
"422","Laying"
"423","Laying"
"424","Laying"
"425","Laying"
"426","Laying"
"427","Laying"
"428","Laying"
"429","Laying"
"430","Laying"
"431","Laying"
"432","Laying"
"433","Laying"
"434","Laying"
"435","Walking"
"436","Walking"
"437","Walking"
"438","Walking"
"439","Walking"
"440","Walking"
"441","Walking"
"442","Walking"
"443","Walking"
"444","Walking"
"445","Walking"
"446","Walking"
"447","Walking"
"448","Walking"
"449","Walking"
"450","Walking"
"451","Walking"
"452","Walking"
"453","Walking"
"454","Walking"
"455","Walking"
"456","Walking"
"457","Walking"
"458","Walking"
"459","Walking"
"460","Walking"
"461","Walking"
"462","Walking"
"463","Walking"
"464","Walking"
"465","Walking"
"466","WalkingDownstairs"
"467","WalkingDownstairs"
"468","WalkingDownstairs"
"469","WalkingDownstairs"
"470","WalkingDownstairs"
"471","WalkingDownstairs"
"472","WalkingDownstairs"
"473","WalkingDownstairs"
"474","WalkingDownstairs"
"475","WalkingDownstairs"
"476","WalkingDownstairs"
"477","WalkingDownstairs"
"478","WalkingDownstairs"
"479","WalkingDownstairs"
"480","WalkingDownstairs"
"481","WalkingDownstairs"
"482","WalkingDownstairs"
"483","WalkingDownstairs"
"484","WalkingDownstairs"
"485","WalkingDownstairs"
"486","WalkingDownstairs"
"487","WalkingDownstairs"
"488","WalkingDownstairs"
"489","WalkingUpstairs"
"490","WalkingUpstairs"
"491","WalkingUpstairs"
"492","WalkingUpstairs"
"493","WalkingUpstairs"
"494","WalkingUpstairs"
"495","WalkingUpstairs"
"496","WalkingUpstairs"
"497","WalkingUpstairs"
"498","WalkingUpstairs"
"499","WalkingUpstairs"
"500","WalkingUpstairs"
"501","WalkingUpstairs"
"502","WalkingUpstairs"
"503","WalkingUpstairs"
"504","WalkingUpstairs"
"505","WalkingUpstairs"
"506","WalkingUpstairs"
"507","WalkingUpstairs"
"508","WalkingUpstairs"
"509","WalkingUpstairs"
"510","WalkingUpstairs"
"511","WalkingUpstairs"
"512","WalkingUpstairs"
"513","WalkingUpstairs"
"514","WalkingUpstairs"
"515","WalkingUpstairs"
"516","WalkingUpstairs"
"517","WalkingUpstairs"
"518","WalkingUpstairs"
"519","WalkingUpstairs"
"520","WalkingUpstairs"
"521","WalkingUpstairs"
"522","WalkingUpstairs"
"523","Standing"
"524","Standing"
"525","Standing"
"526","Standing"
"527","Standing"
"528","Standing"
"529","Standing"
"530","Standing"
"531","Standing"
"532","Standing"
"533","Standing"
"534","Standing"
"535","Standing"
"536","Standing"
"537","Standing"
"538","Standing"
"539","Standing"
"540","Standing"
"541","Standing"
"542","Standing"
"543","Standing"
"544","Standing"
"545","Standing"
"546","Standing"
"547","Standing"
"548","Standing"
"549","Standing"
"550","Standing"
"551","Standing"
"552","Standing"
"553","Sitting"
"554","Sitting"
"555","Sitting"
"556","Sitting"
"557","Sitting"
"558","Sitting"
"559","Sitting"
"560","Sitting"
"561","Sitting"
"562","Sitting"
"563","Sitting"
"564","Sitting"
"565","Sitting"
"566","Sitting"
"567","Sitting"
"568","Sitting"
"569","Sitting"
"570","Sitting"
"571","Sitting"
"572","Sitting"
"573","Sitting"
"574","Sitting"
"575","Sitting"
"576","Sitting"
"577","Sitting"
"578","Sitting"
"579","Laying"
"580","Laying"
"581","Laying"
"582","Laying"
"583","Laying"
"584","Laying"
"585","Laying"
"586","Laying"
"587","Laying"
"588","Laying"
"589","Laying"
"590","Laying"
"591","Laying"
"592","Laying"
"593","Laying"
"594","Laying"
"595","Laying"
"596","Laying"
"597","Laying"
"598","Laying"
"599","Laying"
"600","Laying"
"601","Laying"
"602","Laying"
"603","Laying"
"604","Laying"
"605","Laying"
"606","Laying"
"607","Laying"
"608","Laying"
"609","Laying"
"610","Laying"
"611","Walking"
"612","Walking"
"613","Walking"
"614","Walking"
"615","Walking"
"616","Walking"
"617","Walking"
"618","Walking"
"619","Walking"
"620","Walking"
"621","Walking"
"622","Walking"
"623","Walking"
"624","Walking"
"625","Walking"
"626","Walking"
"627","Walking"
"628","Walking"
"629","Walking"
"630","Walking"
"631","Walking"
"632","Walking"
"633","Walking"
"634","Walking"
"635","Walking"
"636","Walking"
"637","Walking"
"638","WalkingDownstairs"
"639","WalkingDownstairs"
"640","WalkingDownstairs"
"641","WalkingDownstairs"
"642","WalkingDownstairs"
"643","WalkingDownstairs"
"644","WalkingDownstairs"
"645","WalkingDownstairs"
"646","WalkingDownstairs"
"647","WalkingDownstairs"
"648","WalkingDownstairs"
"649","WalkingDownstairs"
"650","WalkingDownstairs"
"651","WalkingDownstairs"
"652","WalkingDownstairs"
"653","WalkingDownstairs"
"654","WalkingDownstairs"
"655","WalkingDownstairs"
"656","WalkingDownstairs"
"657","WalkingDownstairs"
"658","WalkingDownstairs"
"659","WalkingDownstairs"
"660","WalkingDownstairs"
"661","WalkingDownstairs"
"662","WalkingDownstairs"
"663","WalkingDownstairs"
"664","WalkingUpstairs"
"665","WalkingUpstairs"
"666","WalkingUpstairs"
"667","WalkingUpstairs"
"668","WalkingUpstairs"
"669","WalkingUpstairs"
"670","WalkingUpstairs"
"671","WalkingUpstairs"
"672","WalkingUpstairs"
"673","WalkingUpstairs"
"674","WalkingUpstairs"
"675","WalkingUpstairs"
"676","WalkingUpstairs"
"677","WalkingUpstairs"
"678","WalkingUpstairs"
"679","WalkingUpstairs"
"680","WalkingUpstairs"
"681","WalkingUpstairs"
"682","WalkingUpstairs"
"683","WalkingUpstairs"
"684","WalkingUpstairs"
"685","WalkingUpstairs"
"686","WalkingUpstairs"
"687","WalkingUpstairs"
"688","WalkingUpstairs"
"689","Standing"
"690","Standing"
"691","Standing"
"692","Standing"
"693","Standing"
"694","Standing"
"695","Standing"
"696","Standing"
"697","Standing"
"698","Standing"
"699","Standing"
"700","Standing"
"701","Standing"
"702","Standing"
"703","Standing"
"704","Standing"
"705","Standing"
"706","Standing"
"707","Standing"
"708","Standing"
"709","Standing"
"710","Standing"
"711","Standing"
"712","Standing"
"713","Standing"
"714","Standing"
"715","Standing"
"716","Standing"
"717","Sitting"
"718","Sitting"
"719","Sitting"
"720","Sitting"
"721","Sitting"
"722","Sitting"
"723","Sitting"
"724","Sitting"
"725","Sitting"
"726","Sitting"
"727","Sitting"
"728","Sitting"
"729","Sitting"
"730","Sitting"
"731","Sitting"
"732","Sitting"
"733","Sitting"
"734","Sitting"
"735","Sitting"
"736","Sitting"
"737","Sitting"
"738","Sitting"
"739","Sitting"
"740","Laying"
"741","Laying"
"742","Laying"
"743","Laying"
"744","Laying"
"745","Laying"
"746","Laying"
"747","Laying"
"748","Laying"
"749","Laying"
"750","Laying"
"751","Laying"
"752","Laying"
"753","Laying"
"754","Laying"
"755","Laying"
"756","Laying"
"757","Laying"
"758","Laying"
"759","Laying"
"760","Laying"
"761","Laying"
"762","Laying"
"763","Laying"
"764","Laying"
"765","Laying"
"766","Laying"
"767","Laying"
"768","Walking"
"769","Walking"
"770","Walking"
"771","Walking"
"772","Walking"
"773","Walking"
"774","Walking"
"775","Walking"
"776","Walking"
"777","Walking"
"778","Walking"
"779","Walking"
"780","Walking"
"781","Walking"
"782","Walking"
"783","Walking"
"784","Walking"
"785","Walking"
"786","Walking"
"787","Walking"
"788","Walking"
"789","Walking"
"790","Walking"
"791","Walking"
"792","Walking"
"793","Walking"
"794","Walking"
"795","Walking"
"796","Walking"
"797","Walking"
"798","WalkingDownstairs"
"799","WalkingDownstairs"
"800","WalkingDownstairs"
"801","WalkingDownstairs"
"802","WalkingDownstairs"
"803","WalkingDownstairs"
"804","WalkingDownstairs"
"805","WalkingDownstairs"
"806","WalkingDownstairs"
"807","WalkingDownstairs"
"808","WalkingDownstairs"
"809","WalkingDownstairs"
"810","WalkingDownstairs"
"811","WalkingDownstairs"
"812","WalkingDownstairs"
"813","WalkingDownstairs"
"814","WalkingDownstairs"
"815","WalkingDownstairs"
"816","WalkingDownstairs"
"817","WalkingDownstairs"
"818","WalkingDownstairs"
"819","WalkingDownstairs"
"820","WalkingDownstairs"
"821","WalkingDownstairs"
"822","WalkingDownstairs"
"823","WalkingUpstairs"
"824","WalkingUpstairs"
"825","WalkingUpstairs"
"826","WalkingUpstairs"
"827","WalkingUpstairs"
"828","WalkingUpstairs"
"829","WalkingUpstairs"
"830","WalkingUpstairs"
"831","WalkingUpstairs"
"832","WalkingUpstairs"
"833","WalkingUpstairs"
"834","WalkingUpstairs"
"835","WalkingUpstairs"
"836","WalkingUpstairs"
"837","WalkingUpstairs"
"838","WalkingUpstairs"
"839","WalkingUpstairs"
"840","WalkingUpstairs"
"841","WalkingUpstairs"
"842","WalkingUpstairs"
"843","WalkingUpstairs"
"844","WalkingUpstairs"
"845","WalkingUpstairs"
"846","WalkingUpstairs"
"847","WalkingUpstairs"
"848","Standing"
"849","Standing"
"850","Standing"
"851","Standing"
"852","Standing"
"853","Standing"
"854","Standing"
"855","Standing"
"856","Standing"
"857","Standing"
"858","Standing"
"859","Standing"
"860","Standing"
"861","Standing"
"862","Standing"
"863","Standing"
"864","Standing"
"865","Standing"
"866","Standing"
"867","Standing"
"868","Standing"
"869","Standing"
"870","Standing"
"871","Standing"
"872","Standing"
"873","Standing"
"874","Standing"
"875","Standing"
"876","Sitting"
"877","Sitting"
"878","Sitting"
"879","Sitting"
"880","Sitting"
"881","Sitting"
"882","Sitting"
"883","Sitting"
"884","Sitting"
"885","Sitting"
"886","Sitting"
"887","Sitting"
"888","Sitting"
"889","Sitting"
"890","Sitting"
"891","Sitting"
"892","Sitting"
"893","Sitting"
"894","Sitting"
"895","Sitting"
"896","Sitting"
"897","Laying"
"898","Laying"
"899","Laying"
"900","Laying"
"901","Laying"
"902","Laying"
"903","Laying"
"904","Laying"
"905","Laying"
"906","Laying"
"907","Laying"
"908","Laying"
"909","Laying"
"910","Laying"
"911","Laying"
"912","Laying"
"913","Laying"
"914","Laying"
"915","Laying"
"916","Laying"
"917","Laying"
"918","Laying"
"919","Laying"
"920","Laying"
"921","Walking"
"922","Walking"
"923","Walking"
"924","Walking"
"925","Walking"
"926","Walking"
"927","Walking"
"928","Walking"
"929","Walking"
"930","Walking"
"931","Walking"
"932","Walking"
"933","Walking"
"934","Walking"
"935","Walking"
"936","Walking"
"937","Walking"
"938","Walking"
"939","Walking"
"940","Walking"
"941","Walking"
"942","Walking"
"943","Walking"
"944","Walking"
"945","Walking"
"946","Walking"
"947","WalkingDownstairs"
"948","WalkingDownstairs"
"949","WalkingDownstairs"
"950","WalkingDownstairs"
"951","WalkingDownstairs"
"952","WalkingDownstairs"
"953","WalkingDownstairs"
"954","WalkingDownstairs"
"955","WalkingDownstairs"
"956","WalkingDownstairs"
"957","WalkingDownstairs"
"958","WalkingDownstairs"
"959","WalkingDownstairs"
"960","WalkingDownstairs"
"961","WalkingDownstairs"
"962","WalkingDownstairs"
"963","WalkingDownstairs"
"964","WalkingDownstairs"
"965","WalkingDownstairs"
"966","WalkingDownstairs"
"967","WalkingDownstairs"
"968","WalkingDownstairs"
"969","WalkingUpstairs"
"970","WalkingUpstairs"
"971","WalkingUpstairs"
"972","WalkingUpstairs"
"973","WalkingUpstairs"
"974","WalkingUpstairs"
"975","WalkingUpstairs"
"976","WalkingUpstairs"
"977","WalkingUpstairs"
"978","WalkingUpstairs"
"979","WalkingUpstairs"
"980","WalkingUpstairs"
"981","WalkingUpstairs"
"982","WalkingUpstairs"
"983","WalkingUpstairs"
"984","WalkingUpstairs"
"985","WalkingUpstairs"
"986","WalkingUpstairs"
"987","WalkingUpstairs"
"988","WalkingUpstairs"
"989","WalkingUpstairs"
"990","WalkingUpstairs"
"991","Standing"
"992","Standing"
"993","Standing"
"994","Standing"
"995","Standing"
"996","Standing"
"997","Standing"
"998","Standing"
"999","Standing"
"1000","Standing"
"1001","Standing"
"1002","Standing"
"1003","Standing"
"1004","Standing"
"1005","Standing"
"1006","Standing"
"1007","Standing"
"1008","Standing"
"1009","Standing"
"1010","Standing"
"1011","Standing"
"1012","Standing"
"1013","Standing"
"1014","Standing"
"1015","Standing"
"1016","Standing"
"1017","Standing"
"1018","Standing"
"1019","Standing"
"1020","Standing"
"1021","Sitting"
"1022","Sitting"
"1023","Sitting"
"1024","Sitting"
"1025","Sitting"
"1026","Sitting"
"1027","Sitting"
"1028","Sitting"
"1029","Sitting"
"1030","Sitting"
"1031","Sitting"
"1032","Sitting"
"1033","Sitting"
"1034","Sitting"
"1035","Sitting"
"1036","Sitting"
"1037","Sitting"
"1038","Sitting"
"1039","Sitting"
"1040","Sitting"
"1041","Sitting"
"1042","Sitting"
"1043","Sitting"
"1044","Sitting"
"1045","Sitting"
"1046","Sitting"
"1047","Sitting"
"1048","Sitting"
"1049","Sitting"
"1050","Laying"
"1051","Laying"
"1052","Laying"
"1053","Laying"
"1054","Laying"
"1055","Laying"
"1056","Laying"
"1057","Laying"
"1058","Laying"
"1059","Laying"
"1060","Laying"
"1061","Laying"
"1062","Laying"
"1063","Laying"
"1064","Laying"
"1065","Laying"
"1066","Laying"
"1067","Laying"
"1068","Laying"
"1069","Laying"
"1070","Laying"
"1071","Laying"
"1072","Laying"
"1073","Laying"
"1074","Laying"
"1075","Laying"
"1076","Laying"
"1077","Laying"
"1078","Walking"
"1079","Walking"
"1080","Walking"
"1081","Walking"
"1082","Walking"
"1083","Walking"
"1084","Walking"
"1085","Walking"
"1086","Walking"
"1087","Walking"
"1088","Walking"
"1089","Walking"
"1090","Walking"
"1091","Walking"
"1092","Walking"
"1093","Walking"
"1094","Walking"
"1095","Walking"
"1096","Walking"
"1097","Walking"
"1098","Walking"
"1099","Walking"
"1100","Walking"
"1101","Walking"
"1102","Walking"
"1103","Walking"
"1104","Walking"
"1105","Walking"
"1106","Walking"
"1107","WalkingDownstairs"
"1108","WalkingDownstairs"
"1109","WalkingDownstairs"
"1110","WalkingDownstairs"
"1111","WalkingDownstairs"
"1112","WalkingDownstairs"
"1113","WalkingDownstairs"
"1114","WalkingDownstairs"
"1115","WalkingDownstairs"
"1116","WalkingDownstairs"
"1117","WalkingDownstairs"
"1118","WalkingDownstairs"
"1119","WalkingDownstairs"
"1120","WalkingDownstairs"
"1121","WalkingDownstairs"
"1122","WalkingDownstairs"
"1123","WalkingDownstairs"
"1124","WalkingDownstairs"
"1125","WalkingDownstairs"
"1126","WalkingDownstairs"
"1127","WalkingDownstairs"
"1128","WalkingDownstairs"
"1129","WalkingDownstairs"
"1130","WalkingDownstairs"
"1131","WalkingUpstairs"
"1132","WalkingUpstairs"
"1133","WalkingUpstairs"
"1134","WalkingUpstairs"
"1135","WalkingUpstairs"
"1136","WalkingUpstairs"
"1137","WalkingUpstairs"
"1138","WalkingUpstairs"
"1139","WalkingUpstairs"
"1140","WalkingUpstairs"
"1141","WalkingUpstairs"
"1142","WalkingUpstairs"
"1143","WalkingUpstairs"
"1144","WalkingUpstairs"
"1145","WalkingUpstairs"
"1146","WalkingUpstairs"
"1147","WalkingUpstairs"
"1148","WalkingUpstairs"
"1149","WalkingUpstairs"
"1150","WalkingUpstairs"
"1151","WalkingUpstairs"
"1152","WalkingUpstairs"
"1153","WalkingUpstairs"
"1154","WalkingUpstairs"
"1155","WalkingUpstairs"
"1156","WalkingUpstairs"
"1157","Standing"
"1158","Standing"
"1159","Standing"
"1160","Standing"
"1161","Standing"
"1162","Standing"
"1163","Standing"
"1164","Standing"
"1165","Standing"
"1166","Standing"
"1167","Standing"
"1168","Standing"
"1169","Standing"
"1170","Standing"
"1171","Standing"
"1172","Standing"
"1173","Standing"
"1174","Standing"
"1175","Standing"
"1176","Standing"
"1177","Standing"
"1178","Standing"
"1179","Standing"
"1180","Standing"
"1181","Standing"
"1182","Standing"
"1183","Standing"
"1184","Sitting"
"1185","Sitting"
"1186","Sitting"
"1187","Sitting"
"1188","Sitting"
"1189","Sitting"
"1190","Sitting"
"1191","Sitting"
"1192","Sitting"
"1193","Sitting"
"1194","Sitting"
"1195","Sitting"
"1196","Sitting"
"1197","Sitting"
"1198","Sitting"
"1199","Sitting"
"1200","Sitting"
"1201","Sitting"
"1202","Sitting"
"1203","Sitting"
"1204","Sitting"
"1205","Sitting"
"1206","Sitting"
"1207","Sitting"
"1208","Sitting"
"1209","Sitting"
"1210","Laying"
"1211","Laying"
"1212","Laying"
"1213","Laying"
"1214","Laying"
"1215","Laying"
"1216","Laying"
"1217","Laying"
"1218","Laying"
"1219","Laying"
"1220","Laying"
"1221","Laying"
"1222","Laying"
"1223","Laying"
"1224","Laying"
"1225","Laying"
"1226","Laying"
"1227","Laying"
"1228","Laying"
"1229","Laying"
"1230","Laying"
"1231","Laying"
"1232","Laying"
"1233","Laying"
"1234","Laying"
"1235","Laying"
"1236","Laying"
"1237","Laying"
"1238","Laying"
"1239","Walking"
"1240","Walking"
"1241","Walking"
"1242","Walking"
"1243","Walking"
"1244","Walking"
"1245","Walking"
"1246","Walking"
"1247","Walking"
"1248","Walking"
"1249","Walking"
"1250","Walking"
"1251","Walking"
"1252","Walking"
"1253","Walking"
"1254","Walking"
"1255","Walking"
"1256","Walking"
"1257","Walking"
"1258","Walking"
"1259","Walking"
"1260","Walking"
"1261","Walking"
"1262","Walking"
"1263","Walking"
"1264","Walking"
"1265","Walking"
"1266","Walking"
"1267","WalkingDownstairs"
"1268","WalkingDownstairs"
"1269","WalkingDownstairs"
"1270","WalkingDownstairs"
"1271","WalkingDownstairs"
"1272","WalkingDownstairs"
"1273","WalkingDownstairs"
"1274","WalkingDownstairs"
"1275","WalkingDownstairs"
"1276","WalkingDownstairs"
"1277","WalkingDownstairs"
"1278","WalkingDownstairs"
"1279","WalkingDownstairs"
"1280","WalkingDownstairs"
"1281","WalkingDownstairs"
"1282","WalkingDownstairs"
"1283","WalkingDownstairs"
"1284","WalkingDownstairs"
"1285","WalkingDownstairs"
"1286","WalkingDownstairs"
"1287","WalkingDownstairs"
"1288","WalkingDownstairs"
"1289","WalkingDownstairs"
"1290","WalkingDownstairs"
"1291","WalkingUpstairs"
"1292","WalkingUpstairs"
"1293","WalkingUpstairs"
"1294","WalkingUpstairs"
"1295","WalkingUpstairs"
"1296","WalkingUpstairs"
"1297","WalkingUpstairs"
"1298","WalkingUpstairs"
"1299","WalkingUpstairs"
"1300","WalkingUpstairs"
"1301","WalkingUpstairs"
"1302","WalkingUpstairs"
"1303","WalkingUpstairs"
"1304","WalkingUpstairs"
"1305","WalkingUpstairs"
"1306","WalkingUpstairs"
"1307","WalkingUpstairs"
"1308","WalkingUpstairs"
"1309","WalkingUpstairs"
"1310","WalkingUpstairs"
"1311","WalkingUpstairs"
"1312","WalkingUpstairs"
"1313","WalkingUpstairs"
"1314","WalkingUpstairs"
"1315","WalkingUpstairs"
"1316","Standing"
"1317","Standing"
"1318","Standing"
"1319","Standing"
"1320","Standing"
"1321","Standing"
"1322","Standing"
"1323","Standing"
"1324","Standing"
"1325","Standing"
"1326","Standing"
"1327","Standing"
"1328","Standing"
"1329","Standing"
"1330","Standing"
"1331","Standing"
"1332","Standing"
"1333","Standing"
"1334","Standing"
"1335","Standing"
"1336","Standing"
"1337","Standing"
"1338","Standing"
"1339","Standing"
"1340","Standing"
"1341","Standing"
"1342","Standing"
"1343","Standing"
"1344","Sitting"
"1345","Sitting"
"1346","Sitting"
"1347","Sitting"
"1348","Sitting"
"1349","Sitting"
"1350","Sitting"
"1351","Sitting"
"1352","Sitting"
"1353","Sitting"
"1354","Sitting"
"1355","Sitting"
"1356","Sitting"
"1357","Sitting"
"1358","Sitting"
"1359","Sitting"
"1360","Sitting"
"1361","Sitting"
"1362","Sitting"
"1363","Sitting"
"1364","Sitting"
"1365","Sitting"
"1366","Sitting"
"1367","Sitting"
"1368","Sitting"
"1369","Sitting"
"1370","Laying"
"1371","Laying"
